customer_name,customer_email,country,gender,age,annual_salary,credit_card_debt,net_worth,car_purchase_amount
Customer 147,customer147@email.com,India,0,38.0,64684.29,6651.66,590375.88,28970.61
Customer 148,customer148@email.com,India,0,30.0,91010.01,5546.39,214068.45,24880.23
Customer 149,customer149@email.com,India,1,36.0,40032.92,6790.12,527139.93,22818.05
Customer 150,customer150@email.com,India,0,45.0,79686.45,6447.29,491692.5,26163.28
Customer 151,customer151@email.com,South Africa,0,33.0,55720.22,8681.66,447970.79,21068.32
Customer 152,customer152@email.com,India,0,30.0,59010.73,8642.3,467865.62,25441.18
Customer 153,customer153@email.com,India,0,43.0,73496.39,8012.18,29537.74,17476.91
Customer 154,customer154@email.com,India,0,43.0,37545.56,9747.75,362818.77,18789.49
Customer 155,customer155@email.com,France,1,34.0,67648.19,12762.59,523211.23,24557.09
Customer 156,customer156@email.com,South Africa,0,34.0,63329.04,11798.22,539964.1,19458.79
Customer 157,customer157@email.com,Kenya,1,43.0,69849.03,2060.41,243081.21,23824.4
Customer 158,customer158@email.com,Germany,0,23.0,65783.37,0.0,816426.96,29359.53
Customer 159,customer159@email.com,Germany,1,23.0,109106.0,11737.28,283456.29,22872.97
Customer 160,customer160@email.com,Canada,0,31.0,47245.2,2532.49,742364.3,29961.25
Customer 161,customer161@email.com,France,0,37.0,49380.06,7100.94,606798.59,24256.85
Customer 162,customer162@email.com,Nigeria,1,44.0,47537.19,3319.55,338443.17,21947.3
Customer 163,customer163@email.com,Germany,1,58.0,48890.46,792.08,943827.72,30381.93
Customer 164,customer164@email.com,United States,1,50.0,47252.26,10165.85,201590.79,16153.78
Customer 165,customer165@email.com,Nigeria,0,38.0,83780.33,11036.62,729788.54,28361.29
Customer 166,customer166@email.com,India,1,40.0,88410.08,5693.96,750145.58,37330.86
Customer 167,customer167@email.com,India,0,28.0,48585.07,0.0,332344.95,20318.41
Customer 168,customer168@email.com,South Africa,0,40.0,43352.89,5815.02,848116.33,27775.93
Customer 169,customer169@email.com,Nigeria,1,37.0,69428.31,9567.22,437488.37,25237.46
Customer 170,customer170@email.com,United States,1,44.0,48955.54,2084.35,572173.41,18449.66
Customer 171,customer171@email.com,South Africa,0,30.0,72658.64,8733.44,565080.46,28553.02
Customer 172,customer172@email.com,Canada,0,46.0,64058.46,7938.76,466422.81,19855.23
Customer 173,customer173@email.com,Nigeria,1,58.0,29685.12,10317.17,702702.07,15817.08
Customer 174,customer174@email.com,France,1,39.0,90950.1,8478.32,698372.18,28395.05
Customer 175,customer175@email.com,India,1,45.0,95917.55,4107.72,62867.01,23572.27
Customer 176,customer176@email.com,India,0,48.0,47744.23,12786.29,826085.06,24916.92
Customer 177,customer177@email.com,United Kingdom,0,35.0,52245.97,7365.88,84377.0,20389.03
Customer 178,customer178@email.com,South Africa,0,43.0,65717.31,7890.78,758136.55,28023.85
Customer 179,customer179@email.com,Kenya,0,40.0,66689.14,4266.93,781676.28,26088.13
Customer 180,customer180@email.com,Kenya,0,41.0,73170.89,6226.87,227258.39,17348.54
Customer 181,customer181@email.com,South Africa,0,31.0,100204.09,4460.79,397296.43,32437.9
Customer 182,customer182@email.com,France,1,40.0,56461.06,7308.22,223573.83,17742.12
Customer 183,customer183@email.com,Australia,0,46.0,44034.06,14846.83,446269.74,17200.96
Customer 184,customer184@email.com,South Africa,0,57.0,32413.62,2512.4,422991.43,16150.69
Customer 185,customer185@email.com,France,0,52.0,45381.4,1545.75,694915.13,25656.29
Customer 186,customer186@email.com,Canada,1,66.0,59337.46,13884.68,827577.19,28215.89
Customer 187,customer187@email.com,India,0,31.0,95891.16,7162.71,848920.95,41191.32
Customer 188,customer188@email.com,United States,0,50.0,49647.77,5323.71,359457.99,17024.65
Customer 189,customer189@email.com,Australia,1,42.0,64475.76,12159.62,447694.53,19031.15
Customer 190,customer190@email.com,Nigeria,0,66.0,59671.54,5577.54,79140.45,9535.39
Customer 191,customer191@email.com,Australia,0,30.0,83767.87,15304.04,298532.48,23786.27
Customer 192,customer192@email.com,United States,0,30.0,110538.65,10711.7,741212.91,33442.61
Customer 193,customer193@email.com,United Kingdom,0,33.0,49382.62,6048.35,903895.71,28609.02
Customer 194,customer194@email.com,India,0,18.0,50211.21,16629.23,191412.78,14328.38
Customer 195,customer195@email.com,Kenya,1,34.0,80883.22,5577.14,351883.94,25266.49
Customer 196,customer196@email.com,France,1,31.0,73637.83,10968.38,493398.56,26115.2
Customer 197,customer197@email.com,South Africa,1,42.0,96934.15,9197.17,570040.29,28345.73
Customer 198,customer198@email.com,South Africa,0,44.0,71678.56,13206.97,297599.12,19891.87
Customer 199,customer199@email.com,Kenya,0,63.0,52814.16,14246.04,606015.26,17245.13
Customer 200,customer200@email.com,Australia,0,51.0,71813.1,8128.02,381540.16,24060.56
Customer 201,customer201@email.com,India,1,33.0,82174.07,4986.33,496386.93,31460.96
Customer 202,customer202@email.com,Germany,0,29.0,76409.64,9839.89,636571.06,23470.31
Customer 203,customer203@email.com,France,0,46.0,70145.48,5289.14,501605.57,22036.49
Customer 204,customer204@email.com,Canada,1,24.0,81333.49,16053.55,390903.53,18723.15
Customer 205,customer205@email.com,United States,0,62.0,83385.91,8546.14,472597.55,20755.15
Customer 206,customer206@email.com,Australia,1,54.0,87643.18,6538.71,477909.26,25000.48
Customer 207,customer207@email.com,Nigeria,1,34.0,72974.2,8738.72,407497.24,20673.27
Customer 208,customer208@email.com,United Kingdom,1,19.0,56657.64,2611.49,435300.98,17977.94
Customer 209,customer209@email.com,South Africa,0,56.0,62934.27,4113.54,899661.79,26810.15
Customer 210,customer210@email.com,Australia,0,39.0,84130.18,12801.66,640229.86,30965.76
Customer 211,customer211@email.com,United Kingdom,0,55.0,43661.29,5372.42,426129.92,17742.58
Customer 212,customer212@email.com,United States,0,21.0,67373.47,3812.36,674238.6,25244.34
Customer 213,customer213@email.com,South Africa,0,33.0,52133.22,10146.61,416545.13,22266.69
Customer 214,customer214@email.com,South Africa,0,40.0,60574.9,12742.82,793281.16,28037.54
Customer 215,customer215@email.com,Germany,0,41.0,85569.04,10875.81,592410.55,28581.02
Customer 216,customer216@email.com,Australia,1,35.0,63821.98,11984.19,473174.46,29858.72
Customer 217,customer217@email.com,India,0,47.0,60928.73,4972.82,611929.23,29502.0
Customer 218,customer218@email.com,Kenya,1,27.0,32802.88,2312.76,107280.96,8336.03
Customer 219,customer219@email.com,Kenya,0,38.0,74925.07,14005.33,218308.13,23093.59
Customer 220,customer220@email.com,Canada,0,41.0,72909.68,6709.28,201518.75,22530.09
Customer 221,customer221@email.com,Nigeria,0,46.0,103265.09,6996.67,535735.77,26860.02
Customer 222,customer222@email.com,United Kingdom,1,49.0,53844.44,13312.78,933128.75,32064.3
Customer 223,customer223@email.com,Australia,1,27.0,64383.01,10224.92,1057825.04,39805.26
Customer 224,customer224@email.com,France,1,22.0,64987.67,9823.55,659512.78,22988.42
Customer 225,customer225@email.com,Nigeria,1,55.0,91549.07,16660.01,625211.12,24818.07
Customer 226,customer226@email.com,Germany,0,44.0,58094.09,5425.93,49735.57,17419.22
Customer 227,customer227@email.com,South Africa,1,31.0,65580.43,11711.36,364331.55,22967.05
Customer 228,customer228@email.com,India,0,59.0,72157.93,8228.05,303054.06,19916.39
Customer 229,customer229@email.com,Australia,0,41.0,63732.18,9074.37,344788.1,22369.92
Customer 230,customer230@email.com,Nigeria,1,54.0,51071.33,14113.87,457964.05,19780.68
Customer 231,customer231@email.com,Nigeria,1,41.0,63881.8,10031.34,381977.36,18039.27
Customer 232,customer232@email.com,India,1,65.0,81472.63,10153.18,10000.0,15547.53
Customer 233,customer233@email.com,Canada,1,61.0,39469.69,12290.03,686977.56,23739.77
Customer 234,customer234@email.com,United Kingdom,1,37.0,62659.39,6540.19,231814.24,19293.0
Customer 235,customer235@email.com,United Kingdom,1,52.0,45997.58,4643.16,559811.72,21101.12
Customer 236,customer236@email.com,Nigeria,1,48.0,83900.93,3820.76,1018520.67,32380.15
Customer 237,customer237@email.com,United States,1,56.0,29536.26,134.57,270153.85,14162.82
Customer 238,customer238@email.com,Nigeria,0,28.0,48821.56,16224.83,10000.0,13216.92
Customer 239,customer239@email.com,Nigeria,1,48.0,67544.24,3587.17,428498.94,22556.32
Customer 240,customer240@email.com,India,1,53.0,91310.48,7114.99,775239.91,35262.93
Customer 241,customer241@email.com,South Africa,0,19.0,58684.99,6892.75,989586.86,30702.98
Customer 242,customer242@email.com,India,1,26.0,48896.01,9229.63,192612.6,17157.51
Customer 243,customer243@email.com,Australia,0,18.0,97623.14,11262.95,624174.81,26541.68
Customer 244,customer244@email.com,Nigeria,0,37.0,31039.72,11441.89,383672.39,17714.56
Customer 245,customer245@email.com,United Kingdom,1,49.0,16023.88,5667.69,473512.91,14984.01
Customer 246,customer246@email.com,France,0,58.0,68800.29,7331.51,1161085.84,35884.53
Customer 247,customer247@email.com,United Kingdom,0,41.0,49958.92,9130.32,124257.42,13757.37
Customer 248,customer248@email.com,Kenya,0,60.0,39575.34,7005.24,563434.92,18110.06
Customer 249,customer249@email.com,Canada,0,23.0,74167.13,14429.38,616923.29,29098.74
Customer 250,customer250@email.com,Germany,1,20.0,64876.01,9963.9,771446.58,26853.65
Customer 251,customer251@email.com,Australia,0,39.0,48718.43,10939.51,524495.79,18084.0
Customer 252,customer252@email.com,Australia,1,45.0,34393.91,10651.53,577012.63,25882.94
Customer 253,customer253@email.com,Canada,0,40.0,77449.15,12693.9,402087.86,28534.1
Customer 254,customer254@email.com,France,0,18.0,73004.02,8724.09,567281.74,21147.04
Customer 255,customer255@email.com,Germany,0,39.0,58016.48,2812.67,414201.93,24974.37
Customer 256,customer256@email.com,South Africa,0,24.0,96932.74,9598.75,655392.97,29978.97
Customer 257,customer257@email.com,Nigeria,1,48.0,38598.3,5394.57,407597.42,18592.7
Customer 258,customer258@email.com,Germany,1,44.0,29489.5,5885.53,594275.1,21803.05
Customer 259,customer259@email.com,France,0,29.0,46161.84,10345.46,492684.3,20840.19
Customer 260,customer260@email.com,United States,0,34.0,59088.28,12953.13,781512.56,27646.88
Customer 261,customer261@email.com,Kenya,1,27.0,64866.79,8085.09,487151.57,21992.92
Customer 262,customer262@email.com,Germany,0,39.0,55175.28,9235.33,56741.88,11939.02
Customer 263,customer263@email.com,Germany,0,51.0,67041.11,14808.86,815480.38,26189.42
Customer 264,customer264@email.com,Kenya,0,28.0,34969.21,8963.01,273566.92,15218.88
Customer 265,customer265@email.com,Nigeria,1,46.0,88875.29,18406.73,336558.42,20874.51
Customer 266,customer266@email.com,Germany,1,34.0,58356.98,10262.04,351084.68,23595.19
Customer 267,customer267@email.com,Kenya,1,30.0,82345.92,956.95,843609.52,39590.12
Customer 268,customer268@email.com,Kenya,0,39.0,66854.51,11013.37,10000.0,13586.68
Customer 269,customer269@email.com,Kenya,0,28.0,69135.06,9524.63,1284437.13,41424.75
Customer 270,customer270@email.com,India,1,33.0,71395.35,13159.01,764014.2,32772.74
Customer 271,customer271@email.com,France,1,26.0,68954.17,10692.73,555809.73,27006.05
Customer 272,customer272@email.com,India,1,64.0,72854.46,7446.18,486276.5,21336.95
Customer 273,customer273@email.com,United States,1,40.0,86583.05,3102.81,571388.52,32332.99
Customer 274,customer274@email.com,South Africa,0,32.0,63930.42,7163.91,630280.61,29325.53
Customer 275,customer275@email.com,India,1,43.0,74180.08,4597.92,661303.9,25580.31
Customer 276,customer276@email.com,India,0,39.0,58205.29,5677.91,638901.12,29748.49
Customer 277,customer277@email.com,France,1,37.0,88802.34,10354.31,522395.17,31994.7
Customer 278,customer278@email.com,South Africa,0,47.0,46472.15,14679.62,450665.39,16826.31
Customer 279,customer279@email.com,Canada,1,49.0,96018.81,9578.69,462181.68,27002.4
Customer 280,customer280@email.com,Kenya,1,34.0,59196.84,3216.47,451272.93,26433.32
Customer 281,customer281@email.com,Australia,1,33.0,31384.5,9778.41,783442.52,25370.74
Customer 282,customer282@email.com,South Africa,1,37.0,62562.09,12786.53,648389.18,30892.38
Customer 283,customer283@email.com,United States,0,18.0,46378.97,5560.87,10000.0,17292.38
Customer 284,customer284@email.com,Nigeria,1,22.0,76812.87,7463.93,663975.19,26097.08
Customer 285,customer285@email.com,United States,0,56.0,46947.52,8058.75,548684.05,15866.8
Customer 286,customer286@email.com,Kenya,0,60.0,51076.33,4860.41,495322.81,19993.32
Customer 287,customer287@email.com,South Africa,0,37.0,22209.19,10593.12,402870.39,19094.16
Customer 288,customer288@email.com,United States,0,47.0,50953.87,7516.21,781028.18,26419.42
Customer 289,customer289@email.com,United States,1,44.0,15000.0,9678.13,736881.62,25579.6
Customer 290,customer290@email.com,Canada,0,70.0,28321.94,4450.03,306780.58,5923.08
Customer 291,customer291@email.com,Canada,0,53.0,75208.29,6250.17,601763.07,28170.24
Customer 292,customer292@email.com,South Africa,0,38.0,75716.0,10889.53,257085.82,19992.58
Customer 293,customer293@email.com,Kenya,1,29.0,68509.15,6508.67,155095.46,23685.55
Customer 294,customer294@email.com,India,1,21.0,40660.48,14907.86,343320.69,21652.25
Customer 295,customer295@email.com,United Kingdom,1,42.0,59045.77,6401.46,715598.37,25828.72
Customer 296,customer296@email.com,Germany,1,31.0,59927.95,8898.74,738281.26,27416.27
Customer 297,customer297@email.com,Australia,0,23.0,36832.71,11730.36,628271.36,24096.06
Customer 298,customer298@email.com,Germany,0,32.0,90067.97,2326.54,681273.95,32141.63
Customer 299,customer299@email.com,France,1,27.0,77547.25,956.76,629044.57,29381.07
Customer 300,customer300@email.com,Canada,0,60.0,55580.72,1897.37,339629.6,17016.13
Customer 301,customer301@email.com,South Africa,0,51.0,60537.72,13050.34,607980.64,17976.22
Customer 302,customer302@email.com,Germany,0,40.0,64167.66,5792.57,700102.38,29006.43
Customer 303,customer303@email.com,Kenya,1,58.0,19165.3,18232.8,688572.83,15153.79
Customer 304,customer304@email.com,Australia,1,41.0,55056.45,5743.01,797228.34,27949.36
Customer 305,customer305@email.com,Germany,0,30.0,46360.32,8738.21,677075.96,29952.64
Customer 306,customer306@email.com,Australia,1,58.0,39967.6,14168.44,587862.05,14966.02
Customer 307,customer307@email.com,Nigeria,1,46.0,54377.99,16024.37,767537.56,29144.63
Customer 308,customer308@email.com,Kenya,1,28.0,95953.73,16246.01,493369.69,27398.96
Customer 309,customer309@email.com,United Kingdom,1,38.0,72816.86,12833.46,279531.34,20790.53
Customer 310,customer310@email.com,United States,1,29.0,48576.42,12096.25,459233.26,23432.62
Customer 311,customer311@email.com,Australia,0,23.0,71451.66,10370.11,313774.34,21576.38
Customer 312,customer312@email.com,Kenya,1,51.0,87987.11,11113.44,331205.43,24222.67
Customer 313,customer313@email.com,Australia,0,63.0,78492.67,5795.26,463870.33,24776.34
